PID#,CHECK,NO#,STREET,ACCT#,TOTAL ASSESS,diff in value,Diff in assessment,TAXES,LAST YR,LAST YR TAXES,DIFF,%CHANGE,TAXES,AddressOne,AddressTwo
810,U33074003000,16,ABACO DRIVE,D1227R,"1,155,200.00",1.08%,"598,900.00","$12,432.00","556,300.00","$12,428.00",$4.00,0%,ABOUT SAME,"16 Abaco Drive Cape Elizabeth, ME 04107","'16 Abaco Drive Cape Elizabeth, ME 04107',"
###,U33074012000,10,ABACO DRIVE,S2260R,"1,172,600.00",1.09%,"612,600.00","$12,624.00","560,000.00","$12,510.00",$113.00,1%,ABOUT SAME,"10 Abaco Drive Cape Elizabeth, ME 04107","'10 Abaco Drive Cape Elizabeth, ME 04107',"
###,U33074008000,2,ABACO DRIVE,M0509R,"1,165,500.00",1.15%,"624,200.00","$12,546.00","541,300.00","$12,093.00",$453.00,4%,ABOUT SAME,"2 Abaco Drive Cape Elizabeth, ME 04107","'2 Abaco Drive Cape Elizabeth, ME 04107',"
###,U33074007000,7,ABACO DRIVE,M0355R,"1,309,200.00",1.25%,"726,200.00","$14,126.00","583,000.00","$13,024.00","$1,102.00",8%,UP,"7 Abaco Drive Cape Elizabeth, ME 04107","'7 Abaco Drive Cape Elizabeth, ME 04107',"
###,U33074010000,6,ABACO DRIVE,G0873R,"1,209,700.00",1.34%,"692,000.00","$13,032.00","517,700.00","$11,565.00","$1,466.00",13%,UP,"6 Abaco Drive Cape Elizabeth, ME 04107","'6 Abaco Drive Cape Elizabeth, ME 04107',"
###,U33074004000,15,ABACO DRIVE,U0062R,"1,235,100.00",1.32%,"703,100.00","$13,586.00","532,000.00","$11,885.00","$1,701.00",14%,UP,"15 Abaco Drive Cape Elizabeth, ME 04107","'15 Abaco Drive Cape Elizabeth, ME 04107',"
###,U33074011000,8,ABACO DRIVE,E0185R,"1,162,700.00",1.39%,"675,600.00","$12,790.00","487,100.00","$10,882.00","$1,908.00",18%,UP,"8 Abaco Drive Cape Elizabeth, ME 04107","'8 Abaco Drive Cape Elizabeth, ME 04107',"
###,U33074009000,4,ABACO DRIVE,S2300R,"1,128,400.00",1.40%,"659,200.00","$12,412.00","469,200.00","$10,482.00","$1,930.00",18%,UP,"4 Abaco Drive Cape Elizabeth, ME 04107","'4 Abaco Drive Cape Elizabeth, ME 04107',"
###,U33074006000,9,ABACO DRIVE,S2557R,"1,170,800.00",1.48%,"698,700.00","$12,604.00","472,100.00","$10,547.00","$2,057.00",20%,UP,"9 Abaco Drive Cape Elizabeth, ME 04107","'9 Abaco Drive Cape Elizabeth, ME 04107',"
461,U33074013000,12,ABACO DRIVE,M1767R,"1,259,600.00",1.51%,"756,900.00","$13,581.00","502,700.00","$11,230.00","$2,350.00",21%,UP,"12 Abaco Drive Cape Elizabeth, ME 04107","'12 Abaco Drive Cape Elizabeth, ME 04107',"
