Address,Neighborhood,Value 23,Value 24,Tax 23,Tax 24
"1 Algonquin Road Cape Elizabeth, ME 04107",U12,368400,817500,8230,8718
"1 Arlington Lane Cape Elizabeth, ME 04107",U23,505500,782400,11293,8606
"1 Autumn Tides Lane Cape Elizabeth, ME 04107",R05,822200,1478800,18368,16267
"1 Avon Road Cape Elizabeth, ME 04107",U12,454200,1009600,10147,10831
"1 Bacchus Place Cape Elizabeth, ME 04107",R09,1218100,2515500,27212,27671
"1 Baker Road Cape Elizabeth, ME 04107",U03,508900,962600,11369,10314
"1 Bayberry Lane Cape Elizabeth, ME 04107",U19,291700,614600,6517,6761
"1 Beacon Lane Cape Elizabeth, ME 04107",U15,882800,1357400,19722,14590
"1 Birch Knolls Cape Elizabeth, ME 04107",U05,468100,1249200,10457,13741
"1 Birchwood Road Cape Elizabeth, ME 04107",U03,290100,827400,6481,8826
"1 Bruce Avenue Cape Elizabeth, ME 04107",U24,170800,501800,3816,5179
"1 Canter Lane Cape Elizabeth, ME 04107",U23,164600,359000,3677,3949
"1 Canterbury Way Cape Elizabeth, ME 04107",U29,401800,753400,8976,8287
"1 Cape Woods Drive Cape Elizabeth, ME 04107",U33,276400,700600,6175,7432
"1 Cardinal Lane Cape Elizabeth, ME 04107",R05,778800,1294400,17398,13963
"1 Caydens Way Cape Elizabeth, ME 04107",U28,359200,844100,8025,9285
"1 Cedar Ledge Road Cape Elizabeth, ME 04107",U04,585400,1183700,13078,12746
"1 Charles E Jordan Road Cape Elizabeth, ME 04107",R08,179500,389900,4010,4289
"1 Charles Road Cape Elizabeth, ME 04107",U01,287200,759300,6416,8077
"1 Chesterwood Road Cape Elizabeth, ME 04107",U59,552600,1144400,12345,12588
"1 Chimney Rock Road Cape Elizabeth, ME 04107",U08,1002800,2195700,22403,23878
"1 City View Road Cape Elizabeth, ME 04107",U03,304500,762600,6803,8114
"1 Clinton Road Cape Elizabeth, ME 04107",U24,247700,573500,5534,6309
"1 Columbus Road Cape Elizabeth, ME 04107",U32,325800,676800,7278,7170
"1 Cottage Lane Cape Elizabeth, ME 04107",U05,374000,1119800,8355,11977
"1 Cove View Road Cape Elizabeth, ME 04107",U56,841500,1957800,18799,21536
"1 Crescent Road Cape Elizabeth, ME 04107",U02,198800,693300,4441,7351
"1 Crescent View Ave Cape Elizabeth, ME 04107",U16,360900,827800,8063,8831
"1 Davis Point Lane Cape Elizabeth, ME 04107",U18,218600,763800,4884,8402
"1 Dean Way Cape Elizabeth, ME 04107",U18,244500,624700,5462,6872
"1 Deer Run Road Cape Elizabeth, ME 04107",R05,362900,739800,8107,8138
"1 Dermot Drive Cape Elizabeth, ME 04107",U29,378700,838700,8460,8854
"1 Dipper Road Cape Elizabeth, ME 04107",R04,296800,762400,6631,8386
"1 Driftwood Lane Cape Elizabeth, ME 04107",R02,800100,2330800,17874,25364
"1 Elizabeth Road Cape Elizabeth, ME 04107",U03,578600,1194300,12926,12862
"1 Elmwood Road Cape Elizabeth, ME 04107",U03,163700,670700,3657,7103
"1 Erie Road Cape Elizabeth, ME 04107",U28,180900,513800,4041,5377
"1 Farm Hill Road Cape Elizabeth, ME 04107",U21,144200,391000,3221,4301
"1 Fenway Road Cape Elizabeth, ME 04107",U44,184200,517000,4115,5412
"1 Fernwood Lane Cape Elizabeth, ME 04107",U34,307500,402700,6870,4430
"1 Franklin Circle Cape Elizabeth, ME 04107",U49,195700,268500,4372,2679
"1 Garden Lane Cape Elizabeth, ME 04107",U05,711900,1748400,15904,18924
"1 Gateledge Drive Cape Elizabeth, ME 04107",U50,474400,1000300,10598,10728
"1 Geldert Lane Cape Elizabeth, ME 04107",U04,410600,1026100,9173,11287
"1 Glos Way Cape Elizabeth, ME 04107",U49,699000,1593800,15616,16982
"1 Granite Ridge Road Cape Elizabeth, ME 04107",U50,1370400,2303400,30614,24788
"1 Great Pond Drive Cape Elizabeth, ME 04107",R06,349600,692600,7810,7618
"1 Hampton Road Cape Elizabeth, ME 04107",U19,442000,1020600,9874,11226
"1 Harvest Lane Cape Elizabeth, ME 04107",R04,394200,912900,8806,9767
"1 Headland Lane Cape Elizabeth, ME 04107",U49,360500,717800,8054,7896
"1 Hemlock Hill Road Cape Elizabeth, ME 04107",U33,284300,548100,6351,5754
"1 High Bluff Road Cape Elizabeth, ME 04107",U04,217300,639800,4854,7038
"1 High View Road Cape Elizabeth, ME 04107",U42,419000,816600,9360,8649
"1 Hunts Point Road Cape Elizabeth, ME 04107",U38,1759800,5397500,39314,59373
"1 Ivie Road Cape Elizabeth, ME 04107",U04,322500,887200,7205,9484
"1 Jewett Road Cape Elizabeth, ME 04107",U19,182900,481400,4086,5295
"1 Ledgewood Lane Cape Elizabeth, ME 04107",U36,535700,1251000,11968,13486
"1 Legacy Way Cape Elizabeth, ME 04107",U20,101300,225100,2263,2476
"1 Longfellow Drive Cape Elizabeth, ME 04107",U21,154500,470900,3452,4839
"1 Lydon Lane Cape Elizabeth, ME 04107",U33,808400,1159700,18060,12482
"1 Maiden Cove Lane Cape Elizabeth, ME 04107",U05,609300,1807700,13612,19610
"1 Manor Way Cape Elizabeth, ME 04107",U30,778600,1543500,17394,16979
"1 Maplewood Road Cape Elizabeth, ME 04107",U03,257100,792700,5744,8720
"1 Masefield Terrace Cape Elizabeth, ME 04107",U38,618300,1398000,13813,15103
"1 Mckenney Point Road Cape Elizabeth, ME 04107",U41,447400,930000,9995,9955
"1 Meadowview Lane Cape Elizabeth, ME 04107",U31,326900,651700,7303,6894
"1 Misty Lane Cape Elizabeth, ME 04107",U36,509800,1374200,11389,15116
"1 Oakview Drive Cape Elizabeth, ME 04107",U25,161900,342400,3617,3766
"1 Oakwood Road Cape Elizabeth, ME 04107",U24,237500,530500,5306,5561
"1 Ocean House Road Cape Elizabeth, ME 04107",U28,258800,1052400,5782,10894
"1 Overlook Lane Cape Elizabeth, ME 04107",U12,621600,1128800,13887,12073
"1 Peabbles Point Lane Cape Elizabeth, ME 04107",R03,483600,1134200,10804,12476
"1 Peppergrass Road Cape Elizabeth, ME 04107",U60,664700,1297900,14849,14002
"1 Phantom Farm Road Cape Elizabeth, ME 04107",R03,416900,907600,9314,9984
"1 Pheasant Hill Road Cape Elizabeth, ME 04107",R04,227700,505700,5087,5288
"1 Pilot Point Road Cape Elizabeth, ME 04107",U12,492300,996700,10998,10964
"1 Pine Point Road Cape Elizabeth, ME 04107",U35,368000,669400,8221,7363
"1 Pine Ridge Road Cape Elizabeth, ME 04107",U36,477200,1030400,10661,11059
"1 Pleasant Valley Ave Cape Elizabeth, ME 04107",U24,194300,532600,4341,5859
"1 Pond View Road Cape Elizabeth, ME 04107",U18,217500,591100,4859,6502
"1 Quartz Knob Road Cape Elizabeth, ME 04107",U57,765000,1537600,17090,16914
"1 Ram Island Farm Road Cape Elizabeth, ME 04107",R09,638600,830600,14266,9137
"1 Red Oak Drive Cape Elizabeth, ME 04107",U34,506600,918600,11317,10105
"1 Reef Road Cape Elizabeth, ME 04107",U12,254000,539200,5674,5931
"1 Roberts Lane Cape Elizabeth, ME 04107",U08,390600,984400,8726,10828
"1 Rock Crest Drive Cape Elizabeth, ME 04107",U50,501100,1155100,11195,12431
"1 Rock Wall Lane Cape Elizabeth, ME 04107",U04,289700,757900,6472,8337
"1 Rocky Point Lane Cape Elizabeth, ME 04107",U14,267700,554900,5980,6104
"1 Roundabout Lane Cape Elizabeth, ME 04107",U36,490400,1081600,10956,11898
"1 Rugosa Way Cape Elizabeth, ME 04107",U38,1308000,2673400,29221,29407
"1 Running Tide Road Cape Elizabeth, ME 04107",U38,428000,1044400,9562,11488
"1 Russet Lane Cape Elizabeth, ME 04107",U35,187500,500200,4189,5227
"1 Salt Marsh Way Cape Elizabeth, ME 04107",R05,323100,683600,7218,7245
"1 Salt Spray Lane Cape Elizabeth, ME 04107",U36,607200,1937900,13565,21042
"1 Silva Drive Cape Elizabeth, ME 04107",U46,246000,546400,5496,5735
"1 Singles Road Cape Elizabeth, ME 04107",U08,1335600,3415900,29837,37300
"1 Smugglers Cove Road Cape Elizabeth, ME 04107",U10,431200,750200,9633,8252
