address,location/lat,location/lng
"16 Abaco Drive Cape Elizabeth, ME 04107",43.6256908,-70.2308994
"10 Abaco Drive Cape Elizabeth, ME 04107",43.6255387,-70.2295953
"2 Abaco Drive Cape Elizabeth, ME 04107",43.6259548,-70.2277701
"7 Abaco Drive Cape Elizabeth, ME 04107",43.6259862,-70.22943220000000
"6 Abaco Drive Cape Elizabeth, ME 04107",43.6256372,-70.2288568
"15 Abaco Drive Cape Elizabeth, ME 04107",43.6257983,-70.2305698
"8 Abaco Drive Cape Elizabeth, ME 04107",43.6255856,-70.22924340000000
"4 Abaco Drive Cape Elizabeth, ME 04107",43.6256841,-70.2285203
"9 Abaco Drive Cape Elizabeth, ME 04107",43.62590340000000,-70.2298308
"12 Abaco Drive Cape Elizabeth, ME 04107",43.6254999,-70.23005790000000
"11 Abaco Drive Cape Elizabeth, ME 04107",43.6258663,-70.2301772
"2 Abbey Lane Cape Elizabeth, ME 04107",43.61247910000000,-70.2511315
"6 Albion Road Cape Elizabeth, ME 04107",43.6094033,-70.23735600000000
"3 Albion Road Cape Elizabeth, ME 04107",43.60904380000000,-70.23634370000000
"2 Albion Road Cape Elizabeth, ME 04107",43.6085355,-70.2371292
"7 Albion Road Cape Elizabeth, ME 04107",43.6084109,-70.23673700000000
"35 Alewife Cove Cape Elizabeth, ME 04107",43.5878196,-70.21235060000000
"43 Alewife Cove Cape Elizabeth, ME 04107",43.58899,-70.21142450000000
"36 Alewife Cove Cape Elizabeth, ME 04107",43.588021,-70.211248
"37 Alewife Cove Cape Elizabeth, ME 04107",43.58797250000000,-70.2120028
"38 Alewife Cove Cape Elizabeth, ME 04107",43.5887831,-70.21098350000000
"41 Alewife Cove Cape Elizabeth, ME 04107",43.5885031,-70.2117213
"0 Alewife Cove Cape Elizabeth, ME 04107",43.5886372,-70.2113784
"40 Alewife Cove Cape Elizabeth, ME 04107",43.5884311,-70.2108527
"45 Alewife Cove Cape Elizabeth, ME 04107",43.5890879,-70.21168710000000
"10 Alexander Drive Cape Elizabeth, ME 04107",43.6103259,-70.2532201
"6 Alexander Drive Cape Elizabeth, ME 04107",43.6112575,-70.254409
"8 Alexander Drive Cape Elizabeth, ME 04107",43.6109737,-70.2536061
"27 Algonquin Road Cape Elizabeth, ME 04107",43.582668,-70.20563900000000
"26 Algonquin Road Cape Elizabeth, ME 04107",43.5829239,-70.2063354
"2 Algonquin Road Cape Elizabeth, ME 04107",43.5795793,-70.2111414
"10 Algonquin Road Cape Elizabeth, ME 04107",43.5808847,-70.2090229
"8 Algonquin Road Cape Elizabeth, ME 04107",43.58053840000000,-70.20948470000000
"1 Algonquin Road Cape Elizabeth, ME 04107",43.5795435,-70.2101953
"25 Algonquin Road Cape Elizabeth, ME 04107",43.5822284,-70.2059264
"12 Algonquin Road Cape Elizabeth, ME 04107",43.5812,-70.20861
"5 Algonquin Road Cape Elizabeth, ME 04107",43.580344,-70.2089412
"11 Algonquin Road Cape Elizabeth, ME 04107",43.5810652,-70.2079874
"16 Algonquin Road Cape Elizabeth, ME 04107",43.5816261,-70.2079681
"4 Algonquin Road Cape Elizabeth, ME 04107",43.5797889,-70.2108193
"13 Algonquin Road Cape Elizabeth, ME 04107",43.5812409,-70.2077454
"28 Algonquin Road Cape Elizabeth, ME 04107",43.5832448,-70.2057861
"18 Algonquin Road Cape Elizabeth, ME 04107",43.5818954,-70.2075947
"7 Algonquin Road Cape Elizabeth, ME 04107",43.5806073,-70.2086667
"6 Algonquin Road Cape Elizabeth, ME 04107",43.5799812,-70.21041130000000
"9 Algonquin Road Cape Elizabeth, ME 04107",43.5808265,-70.208348
"6 Angell Point Road Cape Elizabeth, ME 04107",43.5598229,-70.2113573
"15 Angell Point Road Cape Elizabeth, ME 04107",43.5593995,-70.213753
"21 Angell Point Road Cape Elizabeth, ME 04107",43.5592183,-70.215313
"18 Angell Point Road Cape Elizabeth, ME 04107",43.5590005,-70.2144507
"11 Angell Point Road Cape Elizabeth, ME 04107",43.5595759,-70.2133083
"14 Angell Point Road Cape Elizabeth, ME 04107",43.5590409,-70.21364370000000
"10 Angell Point Road Cape Elizabeth, ME 04107",43.5594595,-70.21240570000000
